TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,MOBILIADO,PRONTO_PARA_MORAR,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
LOJA,COMPRA,260000,240000,RUA,VINTE E QUATRO DE OUTUBRO,AUXILIADORA,PORTO ALEGRE,RS,47.0,0,0,0,311676,0.0,0,0,0,2023-08-05,-,-30.0279761,-51.2058778
SALA/CONJUNTO COMERCIAL,COMPRA,250000,210000,RUA,URUGUAI,CENTRO HISTORICO,PORTO ALEGRE,RS,83.0,0,0,0,235566,0.0,0,0,0,2023-08-05,-,-30.0057244,-51.0356834
SALA/CONJUNTO COMERCIAL,COMPRA,250000,237500,RUA,DOUTOR FLORES,CENTRO HISTORICO,PORTO ALEGRE,RS,98.0,0,0,0,207198,0.0,0,0,0,2023-08-05,-,-30.0310212,-51.2247936
SALA/CONJUNTO COMERCIAL,COMPRA,240000,228000,AVENIDA,ASSIS BRASIL,JARDIM LINDOIA,PORTO ALEGRE,RS,26.0,0,0,2,352457,0.0,0,0,1,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,COMPRA,240000,198000,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,31.0,0,1,0,82331,0.0,0,0,0,2023-08-05,-,-29.6526379,-50.5738717
SALA/CONJUNTO COMERCIAL,COMPRA,236000,190000,AVENIDA,ASSIS BRASIL,SAO SEBASTIAO,PORTO ALEGRE,RS,25.0,0,0,2,243566,0.0,0,0,1,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,COMPRA,230000,185000,RUA,MARECHAL FLORIANO PEIXOTO,CENTRO HISTORICO,PORTO ALEGRE,RS,123.0,0,0,2,411428,0.0,0,0,0,2023-08-05,-,-30.0305905,-51.2268791
SALA/CONJUNTO COMERCIAL,COMPRA,225000,204000,RUA,DOUTOR FLORES,CENTRO HISTORICO,PORTO ALEGRE,RS,70.0,0,0,0,45034,0.0,0,0,0,2023-08-05,-,-30.0310212,-51.2247936
SALA/CONJUNTO COMERCIAL,COMPRA,220000,209000,RUA,SANTOS DUMONT,FLORESTA,PORTO ALEGRE,RS,33.0,0,1,2,385322,0.0,0,0,0,2023-08-05,-,-29.7278375,-51.1484306
SALA/CONJUNTO COMERCIAL,COMPRA,220000,190000,AVENIDA,TAQUARA,PETROPOLIS,PORTO ALEGRE,RS,42.0,0,0,2,379402,0.0,0,0,0,2023-08-05,-,-29.6282086,-50.8282846
SALA/CONJUNTO COMERCIAL,COMPRA,210000,160000,RUA,VIGARIO JOSE INACIO,CENTRO HISTORICO,PORTO ALEGRE,RS,53.0,0,0,1,378115,0.0,0,0,0,2023-08-05,-,-29.5676459,-50.7909134
SALA/CONJUNTO COMERCIAL,COMPRA,202000,149000,RUA,DOUTORA RITA LOBATO,PRAIA DE BELAS,PORTO ALEGRE,RS,42.0,0,0,0,254941,0.0,0,0,0,2023-08-05,-,-30.0454551,-51.2285595
SALA/CONJUNTO COMERCIAL,COMPRA,202000,190000,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,48.0,0,0,2,389438,0.0,0,0,0,2023-08-05,-,-30.0296388,-51.2232103
SALA/CONJUNTO COMERCIAL,COMPRA,198000,188100,AVENIDA,GOETHE,MOINHOS DE VENTO,PORTO ALEGRE,RS,25.0,0,2,0,358565,0.0,0,0,0,2023-08-05,-,-30.027087,-51.199371
