TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,ALUGA_RAPIDO_SEM_FIADOR_OU_GARANTIAS,AUXI_PLUS,EXCLUSIVO,MOBILIADO,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
APARTAMENTO,ALUGAR,4800,3800,AVENIDA,NEUSA GOULART BRIZOLA,PETROPOLIS,PORTO ALEGRE,RS,87.0,3,1,2,423622,1,0,0,0,2023-08-03,-,-30.038627,-51.1938992
APARTAMENTO,ALUGAR,3018,2600,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,40.0,1,0,1,423717,0,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,4976,4000,PRACA,NACOES UNIDAS,PETROPOLIS,PORTO ALEGRE,RS,129.0,3,1,2,423787,1,0,0,1,2023-08-03,-,-30.0485443,-51.18989223146802
CASA EM CONDOMINIO,ALUGAR,6521,4800,RUA,HIPOLITO DA COSTA,SANTA TEREZA,PORTO ALEGRE,RS,140.0,4,2,3,423799,1,0,0,0,2023-08-03,-,-30.0673606,-51.2295546
APARTAMENTO,ALUGAR,3923,3500,AVENIDA,JOAO PESSOA,CENTRO HISTORICO,PORTO ALEGRE,RS,25.0,1,0,1,429657,1,0,0,0,2023-08-03,-,-30.0470064,-51.211756
APARTAMENTO,ALUGAR,3355,3000,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,27.0,1,0,1,429907,0,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,7129,6000,RUA,DONA AUGUSTA,MENINO DEUS,PORTO ALEGRE,RS,127.0,3,2,2,419996,0,0,0,0,2023-08-03,-,-30.0641033,-51.2274413
APARTAMENTO,ALUGAR,4967,3900,RUA,PEDRO CHAVES BARCELOS,AUXILIADORA,PORTO ALEGRE,RS,73.0,2,2,1,421000,1,0,0,0,2023-08-03,-,-30.023746,-51.1856377
APARTAMENTO,ALUGAR,3754,3000,RUA,ANITA GARIBALDI,BOA VISTA,PORTO ALEGRE,RS,67.0,2,1,1,419438,1,0,0,1,2023-08-03,-,-30.022182,-51.1738111
APARTAMENTO,ALUGAR,3863,2780,AVENIDA,CRISTOVAO COLOMBO,FLORESTA,PORTO ALEGRE,RS,80.0,1,1,1,418689,0,0,0,1,2023-08-03,-,-30.0220731,-51.2085441
APARTAMENTO,ALUGAR,3085,2800,RUA,DOUTOR VICENTE DE PAULA DUTRA,PRAIA DE BELAS,PORTO ALEGRE,RS,64.0,2,1,1,418844,1,0,0,1,2023-08-03,-,-30.0442611,-51.2298705
APARTAMENTO,ALUGAR,3771,3100,AVENIDA,IJUI,PETROPOLIS,PORTO ALEGRE,RS,88.0,2,1,1,413803,1,0,0,0,2023-08-03,-,-30.0384635,-51.1873967
APARTAMENTO,ALUGAR,4872,4000,RUA,FELICISSIMO DE AZEVEDO,AUXILIADORA,PORTO ALEGRE,RS,117.0,2,2,2,416359,1,0,0,0,2023-08-03,-,-30.0174708,-51.1886484
APARTAMENTO,ALUGAR,8788,6800,RUA,CARLOS TREIN FILHO,BELA VISTA,PORTO ALEGRE,RS,156.0,3,2,2,417010,1,0,0,0,2023-08-03,-,-30.0322319,-51.1866016
CASA EM CONDOMINIO,ALUGAR,5109,4300,RUA,EDGAR LUIZ SCHNEIDER,JARDIM ISABEL,PORTO ALEGRE,RS,158.0,3,2,2,402052,1,0,0,0,2023-08-03,-,-30.1253286,-51.2351838
APARTAMENTO,ALUGAR,6442,5000,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,43.0,1,0,1,402377,1,0,0,1,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,3822,3400,AVENIDA,JOAO PESSOA,CIDADE BAIXA,PORTO ALEGRE,RS,30.0,1,1,1,402422,1,0,0,0,2023-08-03,-,-30.0470064,-51.211756
APARTAMENTO,ALUGAR,2584,2250,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,27.0,1,1,1,402524,1,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,2595,2300,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,30.0,1,0,1,402526,1,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,2630,2300,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,30.0,1,1,1,402528,1,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,2608,2300,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,30.0,1,0,1,402529,1,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,2613,2300,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,30.0,1,0,1,402541,1,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,2630,2300,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,30.0,1,0,1,402546,1,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,2869,2550,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,27.0,1,0,1,408257,1,0,0,0,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,3125,2800,AVENIDA,DOS CUBANOS,PARTENON,PORTO ALEGRE,RS,37.0,1,0,1,408403,1,0,0,1,2023-08-03,-,-30.0586548,-51.1694455
APARTAMENTO,ALUGAR,2485,2000,RUA,JOAQUIM CRUZ,SANTO ANTONIO,PORTO ALEGRE,RS,58.0,2,1,2,413023,0,0,0,0,2023-08-03,-,-30.0592444,-51.198199
APARTAMENTO,ALUGAR,2805,2500,RUA,ANTONIO MARANGHELLO,PARTENON,PORTO ALEGRE,RS,64.0,2,1,1,413198,0,0,0,0,2023-08-03,-,-30.0601297,-51.1618488
APARTAMENTO,ALUGAR,2932,2000,AVENIDA,OTTO NIEMEYER,TRISTEZA,PORTO ALEGRE,RS,71.0,2,1,1,413645,1,0,0,0,2023-08-03,-,-30.1102017,-51.2549331
